mechanism,region_pair,message_size_bytes,rate_rps,end_to_end_latency_ms,vcpu,memory_mb,source
pubsub,us-east1->us-east1,1048576,0.1,79.501,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,108.61500000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,108.101,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,120.26599999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,90.532,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,100.365,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,93.445,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,107.286,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,93.97800000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,98.625,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,69.37400000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,138.61599999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,207.814,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,96.398,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,64.50999999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,78.21799999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,86.177,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,93.491,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
